IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
ABE,Lehigh Valley International Airport,Allentown,PA,USA,40.65236,-75.44040
ABR,Aberdeen Regional Airport,Aberdeen,SD,USA,45.44906,-98.42183
ACK,Nantucket Memorial Airport,Nantucket,MA,USA,41.25305,-70.06018
ACT,Waco Regional Airport,Waco,TX,USA,31.61129,-97.23052
ACY,Atlantic City International Airport,Atlantic City,NJ,USA,39.45758,-74.57717
ADQ,Kodiak Airport,Kodiak,AK,USA,57.74997,-152.49386
AEX,Alexandria International Airport,Alexandria,LA,USA,31.32737,-92.54856
AKN,King Salmon Airport,King Salmon,AK,USA,58.67680,-156.64922
AVL,Asheville Regional Airport,Asheville,NC,USA,35.43619,-82.54181
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,USA,41.33815,-75.72427
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,USA,42.23488,-85.55206
BIS,Bismarck Municipal Airport,Bismarck,ND,USA,46.77411,-100.74672
BJI,Bemidji Regional Airport,Bemidji,MN,USA,47.50942,-94.93372
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,USA,40.47799,-88.91595
BNA,Nashville International Airport,Nashville,TN,USA,36.12448,-86.67818
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA,42.36435,-71.00518
BPT,Jack Brooks Regional Airport (Southeast Texas Regional),Beaumont/Port Arthur,TX,USA,29.95083,-94.02069
BQN,Rafael Hernández Airport,Aguadilla,PR,USA,18.49486,-67.12944
BRO,Brownsville/South Padre Island International Airport,Brownsville,TX,USA,25.90683,-97.42586
BTM,Bert Mooney Airport,Butte,MT,USA,45.95480,-112.49746
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,USA,30.53316,-91.14963
BTV,Burlington International Airport,Burlington,VT,USA,44.47300,-73.15031
BUF,Buffalo Niagara International Airport,Buffalo,NY,USA,42.94052,-78.73217
BWI,Baltimore-Washington International Airport,Baltimore,MD,USA,39.17540,-76.66820
CAK,Akron-Canton Regional Airport,Akron,OH,USA,40.91631,-81.44247
CDC,Cedar City Regional Airport,Cedar City,UT,USA,37.70097,-113.09858
CDV,Merle K. (Mudhole) Smith Airport,Cordova,AK,USA,60.49183,-145.47765
CHA,Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,TN,USA,35.03527,-85.20379
CHS,Charleston International Airport/Charleston AFB,Charleston,SC,USA,32.89865,-80.04051
CIU,Chippewa County International Airport,Sault Ste. Marie,MI,USA,46.25075,-84.47239
CLD,McClellan-Palomar Airport,San Diego,CA,USA,33.12723,-117.27873
CLL,Easterwood Airport,College Station,TX,USA,30.58859,-96.36382
CLT,Charlotte Douglas International Airport,Charlotte,NC,USA,35.21401,-80.94313
CMI,University of Illinois - Willard Airport,Champaign/Urbana,IL,USA,40.03925,-88.27806
CMX,Houghton County Memorial Airport,Hancock,MI,USA,47.16842,-88.48906
CNY,Canyonlands Field,Moab,UT,USA,38.75496,-109.75484
COD,Yellowstone Regional Airport,Cody,WY,USA,44.52019,-109.02380
COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,USA,38.80581,-104.70025
COU,Columbia Regional Airport,Columbia,MO,USA,38.81809,-92.21963
CPR,Natrona County International Airport,Casper,WY,USA,42.90836,-106.46447
CRP,Corpus Christi International Airport,Corpus Christi,TX,USA,27.77036,-97.50122
CSG,Columbus Metropolitan Airport,Columbus,GA,USA,32.51633,-84.93886
CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,USA,39.04614,-84.66217
DAB,Daytona Beach International Airport,Daytona Beach,FL,USA,29.17992,-81.05806
DAL,Dallas Love Field,Dallas,TX,USA,32.84711,-96.85177
DBQ,Dubuque Regional Airport,Dubuque,IA,USA,42.40296,-90.70917
DCA,Ronald Reagan Washington National Airport,Arlington,VA,USA,38.85208,-77.03772
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.03720
DHN,Dothan Regional Airport,Dothan,AL,USA,31.32134,-85.44963
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,USA,46.79739,-102.80195
DLH,Duluth International Airport,Duluth,MN,USA,46.84209,-92.19365
DRO,Durango-La Plata County Airport,Durango,CO,USA,37.15152,-107.75377
DSM,Des Moines International Airport,Des Moines,IA,USA,41.53493,-93.66068
DTW,Detroit Metropolitan Airport,Detroit,MI,USA,42.21206,-83.34884
DVL,Devils Lake Regional Airport,Devils Lake,ND,USA,48.11425,-98.90878
EAU,Chippewa Valley Regional Airport,Eau Claire,WI,USA,44.86526,-91.48507
ECP,Northwest Florida Beaches International Airport,Panama City,FL,USA,,
EGE,Eagle County Regional Airport,Eagle,CO,USA,39.64257,-106.91770
EKO,Elko Regional Airport,Elko,NV,USA,40.82493,-115.79170
ELM,Elmira/Corning Regional Airport,Elmira,NY,USA,42.15991,-76.89144
ERI,Erie International Airport,Erie,PA,USA,42.08202,-80.17622
EUG,Eugene Airport (Mahlon Sweet Field),Eugene,OR,USA,44.12326,-123.21869
