flights,,,,,,,,,,,,,,,,,,
YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,SCHEDULED_TIME,AIR_TIME,DISTANCE,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,CANCELLED
2015,1,1,4,US,2013,N584UW,LAX,CLT,30,44,14,273,228,2125,803,753,-10,0
2015,1,1,4,NK,214,N632NK,LAS,DFW,103,102,-1,147,128,1055,530,529,-1,0
2015,1,1,4,UA,1545,N76517,LAX,IAH,115,112,-3,183,156,1379,618,607,-11,0
2015,1,1,4,US,413,N571UW,LAS,CLT,120,110,-10,245,205,1916,825,754,-31,0
2015,1,1,4,NK,298,N514NK,LAS,IAH,144,140,-4,170,148,1222,634,630,-4,0
2015,1,1,4,HA,17,N389HA,LAS,HNL,145,145,0,370,361,2762,555,610,15,0
2015,1,1,4,NK,647,N630NK,IAG,FLL,200,155,-5,184,149,1176,504,453,-11,0
2015,1,1,4,UA,1162,N37293,BQN,EWR,259,258,-1,240,225,1585,559,605,6,0
2015,1,1,4,HA,102,N492HA,HNL,ITO,500,452,-8,49,35,216,549,543,-6,0
2015,1,1,4,HA,108,N476HA,HNL,KOA,502,501,-1,42,30,163,544,549,5,0
2015,1,1,4,DL,2099,N355NW,BNA,DTW,520,511,-9,103,66,456,803,757,-6,0
2015,1,1,4,EV,4685,N26545,BRO,IAH,520,517,-3,74,49,308,634,629,-5,0
2015,1,1,4,B6,2001,N358JB,BUF,JFK,535,530,-5,88,56,301,703,648,-15,0
2015,1,1,4,EV,4557,N12967,CRP,IAH,535,523,-12,61,33,201,636,615,-21,0
2015,1,1,4,B6,727,N292JB,BOS,BWI,540,536,-4,101,66,369,721,700,-21,0
2015,1,1,4,DL,2079,N389DA,BOS,DTW,540,537,-3,143,105,632,803,742,-21,0
2015,1,1,4,EV,4160,N11150,JAX,EWR,540,531,-9,137,109,820,757,743,-14,0
